population,access_rate,beta,pfpr2to10
75.0,0.75,0.25,25.291979180373882
75.0,0.75,0.3,37.77037270466008
75.0,0.75,0.4,41.252684781052494
75.0,0.75,0.5,42.22327549527543
75.0,0.75,0.6,46.374408352260076
75.0,0.75,0.8,47.25646935614723
75.0,0.75,1.0,65.72945590798082
75.0,0.8,0.001,0.0
75.0,0.8,0.005,0.0
75.0,0.8,0.01,0.0
75.0,0.8,0.0125,0.0
75.0,0.8,0.015,0.0
75.0,0.8,0.02,0.0
75.0,0.8,0.03,0.0
75.0,0.8,0.04,0.0
75.0,0.8,0.05,1.1979700385497487
75.0,0.8,0.1,13.066209958647319
75.0,0.8,0.15,18.96360076539477
75.0,0.8,0.2,25.624766384729217
75.0,0.8,0.25,28.028938485293835
75.0,0.8,0.3,39.537101062164254
75.0,0.8,0.4,35.9443841372161
75.0,0.8,0.5,44.542009516070166
75.0,0.8,0.6,43.80849511789788
75.0,0.8,0.8,53.838693290173836
75.0,0.8,1.0,59.46929995520074
75.0,0.85,0.001,0.0
75.0,0.85,0.005,0.0
75.0,0.85,0.01,0.0
75.0,0.85,0.0125,0.0
75.0,0.85,0.015,0.0
75.0,0.85,0.02,0.0
75.0,0.85,0.03,0.0
75.0,0.85,0.04,0.0
75.0,0.85,0.05,1.5836890038678035
75.0,0.85,0.1,6.4033768532320865
75.0,0.85,0.15,24.32804854857791
75.0,0.85,0.2,30.464732985561827
75.0,0.85,0.25,34.33149177084917
75.0,0.85,0.3,34.53847446148669
75.0,0.85,0.4,38.88117969415884
75.0,0.85,0.5,44.6438858314718
75.0,0.85,0.6,48.11843765876035
75.0,0.85,0.8,51.65116930197603
75.0,0.85,1.0,56.55584272984084
75.0,0.9,0.001,0.0
75.0,0.9,0.005,0.0
75.0,0.9,0.01,0.0
75.0,0.9,0.0125,0.0
75.0,0.9,0.015,0.0
75.0,0.9,0.02,0.0
75.0,0.9,0.03,0.0
75.0,0.9,0.04,0.8034755770263016
75.0,0.9,0.05,1.1863859623716253
75.0,0.9,0.1,12.52055205938251
75.0,0.9,0.15,19.130049310451366
75.0,0.9,0.2,24.915569112519687
75.0,0.9,0.25,31.604331492245056
75.0,0.9,0.3,32.71343093866376
75.0,0.9,0.4,36.22994964576441
75.0,0.9,0.5,40.726173108886876
75.0,0.9,0.6,50.287557040653354
75.0,0.9,0.8,53.11547042408924
75.0,0.9,1.0,53.83666196064072
75.0,0.95,0.001,0.0
75.0,0.95,0.005,0.0
75.0,0.95,0.01,0.0
75.0,0.95,0.0125,0.0
75.0,0.95,0.015,0.0
75.0,0.95,0.02,0.0
75.0,0.95,0.03,0.0
75.0,0.95,0.04,0.0
75.0,0.95,0.05,3.57047617090841
75.0,0.95,0.1,11.882547850097756
75.0,0.95,0.15,24.278163334205573
75.0,0.95,0.2,20.488151801460294
75.0,0.95,0.25,29.70596217672402
75.0,0.95,0.3,32.70491352631404
75.0,0.95,0.4,41.11383852090691
75.0,0.95,0.5,39.05840017436557
75.0,0.95,0.6,43.13082492445046
75.0,0.95,0.8,51.89084970229942
75.0,0.95,1.0,50.217523196532426
100.0,0.5,0.001,0.0
100.0,0.5,0.005,0.0
100.0,0.5,0.01,0.0
100.0,0.5,0.0125,0.0
100.0,0.5,0.015,0.0
100.0,0.5,0.02,0.0
100.0,0.5,0.03,0.6046568296985428
100.0,0.5,0.04,0.9474465026790606
100.0,0.5,0.05,4.682267745673543
100.0,0.5,0.1,18.541647209380738
100.0,0.5,0.15,23.301819487372406
100.0,0.5,0.2,27.905379674776906
100.0,0.5,0.25,33.77985286666116
